,ID,Name,HOF,HOF_n,HOF_mgr,FY,LY,SP,n_33,POS,ASG,G,AB,R,H,DB,TP,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,DBTP,BBSB,AVG,SLG,OBP,AW_P,AW_C,AWD,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,WAR
996,bochtbr01,"Bochte, Bruce",N,0,N,1974,1986,12,12,0,N,1538,5233,64.3,147.8,250,21,100,65.8,43,41,653,662,65,13,44,51,156,27.1,69.6,282,396,360,0,0,0,-359.6784342,63.35451164,-505.9421459,-93.66431247,-63.07905936,1.638183305,1.635802469
1014,boggswa01,"Boggs, Wade",Y,1,N,1982,1999,18,18,0,Y,2440,9180,151.3,301,578,61,118,101.4,24,35,1412,745,180,23,29,96,236,63.9,143.6,328,443,415,10,0,1,-470.6682327,189.4942914,-568.1975198,-89.61770782,-49.16998583,11.43878012,5.375968343
1030,bollifr01,"Bolling, Frank",N,0,N,1954,1966,12,12,1,Y,1540,5562,69.2,141.5,221,40,106,55.6,40,38,462,558,28,30,97,38,114,26.1,50.2,254,366,313,1,0,1,-340.9450805,53.43886929,-450.7711099,-72.10187497,-56.53147138,10.11277272,1.584149297
1042,bondsbo01,"Bonds, Bobby",N,11,N,1968,1981,14,14,0,Y,1849,7043,125.8,188.6,302,66,332,102.4,461,169,914,1757,75,53,16,64,107,36.8,137.5,268,471,353,4,0,1,-594.1203975,-8.064522479,-457.7430141,-89.03084567,-60.92013273,18.52608199,4.71789864
1052,bonilbo01,"Bonilla, Bobby",N,1,N,1986,2001,16,16,0,Y,2113,7213,108.4,201,408,61,287,117.3,45,57,912,1204,128,28,5,97,169,46.9,95.7,279,472,358,3,0,1,-568.9723777,23.16415514,-480.6310885,-80.94572137,-59.10734627,-0.117882587,2.63549364
1056,bonneba01,"Bonnell, Barry",N,0,N,1977,1986,10,10,0,N,976,3068,36.3,83.3,143,24,56,35.5,64,39,229,387,26,13,27,16,83,16.7,29.3,272,389,323,0,0,0,-283.6633721,17.00499251,-500.3862423,-70.87937392,-69.0451641,6.1277836,0.583924843
1066,boonebo01,"Boone, Bob",N,5,N,1972,1990,19,19,1,Y,2264,7245,67.9,183.8,303,26,105,82.6,38,50,663,608,90,20,142,78,191,32.9,70.1,254,346,315,7,0,1,-357.1197004,99.98731397,-435.0987954,-74.02155816,-52.34694408,-4.990110205,1.891482572
1078,bordepa01,"Borders, Pat",N,0,N,1988,2005,17,17,1,N,1099,3282,28.9,83.1,168,12,69,34.6,9,14,155,557,13,12,31,19,94,18,16.4,253,375,288,1,0,1,-283.0933454,9.017515434,-461.9647237,-51.45045269,-63.88790923,8.853940154,0.515975993
1079,bordimi01,"Bordick, Mike",N,0,N,1990,2003,14,14,1,N,1720,5770,67.6,150,257,30,91,62.6,96,58,500,800,10,63,97,54,145,28.7,59.6,260,362,323,0,0,0,-334.4674784,70.58270981,-459.973153,-77.37896221,-57.00988974,3.068251943,1.888972856
1099,bosleth01,"Bosley, Thad",N,0,N,1977,1990,14,14,0,N,784,1581,18.3,43,50,12,20,15.8,47,24,143,275,15,1,14,16,33,6.2,19,272,357,330,0,0,0,-223.5484968,4.50233153,-497.7298823,-92.59311144,-80.40620668,7.985013585,0.334358974
