,ID,Name,HOF,HOF_n,HOF_mgr,FY,LY,SP,n_33,POS,ASG,G,AB,R,H,DB,TP,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,DBTP,BBSB,AVG,SLG,OBP,AW_P,AW_C,AWD,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,WAR
5982,kluszte01,"Kluszewski, Ted",N,15,N,1947,1961,15,15,0,Y,1718,5929,84.8,176.6,290,29,279,102.8,20,10,492,365,70,23,3,23,143,31.9,51.2,298,498,353,0,0,0,-559.2883027,-1.806714764,-508.2406973,-66.85048852,-73.3509212,6.984147391,2.537604328
5995,knighra01,"Knight, Ray",N,1,N,1974,1988,13,13,0,Y,1495,4829,49,131.1,266,27,84,59.5,14,25,343,579,43,36,22,61,169,29.3,35.7,271,390,321,2,1,1,-331.1168423,49.74837,-486.0493779,-64.44588721,-62.08592408,0.51414436,1.682271782
5999,knorrra01,"Knorr, Randy",N,0,N,1991,2001,11,11,1,N,253,676,8.2,15.3,27,3,24,8.8,0,1,47,161,3,3,8,4,20,3,4.7,226,382,278,0,0,0,-212.8507591,-43.97565883,-472.712443,-47.09125093,-47.0107103,6.897770398,-0.141463415
6054,koscoan01,"Kosco, Andy",N,1,N,1965,1974,10,10,0,N,658,1963,20.4,46.4,75,8,73,26.7,5,8,99,350,18,6,15,19,58,8.3,10.4,236,394,273,0,0,0,-273.2073168,-35.33150127,-461.7166682,-39.30450477,-54.65052182,7.175772162,0.366888677
6083,kraneed01,"Kranepool, Ed",N,1,N,1962,1979,18,18,0,N,1853,5436,53.6,141.8,225,25,118,61.4,15,27,454,581,89,14,35,58,138,25,46.9,261,377,316,0,0,0,-356.8968756,48.45138134,-457.5330363,-71.07500043,-61.19787366,7.139262264,0.514507254
6100,kreutch01,"Kreuter, Chad",N,0,N,1988,2003,16,16,1,N,944,2505,28.9,59.3,123,8,54,27.4,5,7,361,593,13,20,27,19,68,13.1,36.6,237,357,335,0,0,0,-257.7668498,1.313090698,-472.6970817,-102.7139051,-50.57194984,5.52969168,1.032776262
6116,krukjo01,"Kruk, John",N,1,N,1986,1995,10,10,0,Y,1200,3897,58.2,117,199,34,100,59.2,58,31,649,701,83,2,12,43,92,23.3,70.7,300,446,397,0,0,0,-369.159522,28.03813614,-566.4468841,-107.00243,-65.89351683,0.449611582,3.155051054
6123,kubiate01,"Kubiak, Ted",N,0,N,1967,1976,10,10,1,N,977,2447,23.8,56.5,61,21,13,20.2,13,22,271,272,36,4,45,16,70,8.2,28.4,231,289,307,0,0,0,-194.5188818,30.46188662,-426.0294272,-103.1613187,-63.02973597,4.323191647,0.122673374
6132,kuennha01,"Kuenn, Harvey",N,15,N,1952,1966,15,15,0,Y,1833,6913,95.1,209.2,356,56,87,67.1,68,56,594,404,39,15,44,52,143,41.2,66.2,303,408,357,1,0,1,-379.5931912,119.0665041,-523.7326467,-70.29894842,-61.93909634,14.69516141,2.347702809
6136,kuipedu01,"Kuiper, Duane",N,0,N,1974,1985,12,12,1,N,1057,3379,32.9,91.7,91,29,1,26.3,52,71,248,255,27,28,82,17,76,12,30,271,316,325,0,0,0,-215.3866163,66.0285165,-471.51728,-94.12329785,-77.69319824,6.960386738,0.341262653
6169,lacyle01,"Lacy, Lee",N,0,N,1972,1987,16,16,0,N,1523,4549,65,130.3,207,42,91,45.8,185,86,372,657,26,9,41,33,86,24.9,55.7,286,410,339,0,0,0,-343.1818217,42.77008195,-512.4713772,-71.35444907,-68.01506695,15.04221229,1.403117506
6183,lahoujo01,"Lahoud, Joe",N,0,N,1968,1978,11,11,0,N,791,1925,23.9,42.9,68,12,65,21.8,20,20,309,339,21,16,6,5,38,8,32.9,223,372,334,0,0,0,-262.5697505,-24.91407716,-474.0437051,-101.5134231,-39.4865566,8.029154892,0.837151703
6191,lakerti01,"Laker, Tim",N,0,N,1992,2006,11,11,1,N,282,651,6.6,14.7,28,2,11,7.9,5,5,44,162,6,3,13,5,19,3,4.9,226,326,276,0,0,0,-182.1279859,-21.91239171,-437.9198045,-68.2745201,-61.75838477,5.242184556,-0.227932961
6192,lakest01,"Lake, Steve",N,0,N,1983,1993,11,11,1,N,476,1125,8.9,26.7,41,5,18,10.8,1,0,43,159,17,6,18,5,33,4.6,4.4,237,331,268,0,0,0,-194.913744,-14.32294406,-438.5274297,-57.27869357,-69.77604734,7.427213519,0.286883876
6212,lampkto01,"Lampkin, Tom",N,0,N,1988,2002,13,13,1,N,777,1796,22.4,42.2,78,8,56,23.6,23,17,193,286,27,36,10,17,38,8.6,21.6,235,381,319,0,0,0,-257.9863018,-24.16706751,-480.9962901,-82.1152742,-48.49116767,5.298891845,0.720516569
6220,landiji01,"Landis, Jim",N,0,N,1957,1967,11,11,0,N,1346,4288,62.5,106.1,169,50,93,46.7,139,51,588,767,22,59,61,29,65,21.9,72.7,247,375,344,5,0,1,-320.515195,26.3576927,-475.736503,-99.40808804,-48.81820937,6.478887588,2.441432836
6224,landrho01,"Landrith, Hobie",N,0,N,1950,1963,14,14,1,N,772,1929,17.9,45,69,5,34,20.3,5,12,253,188,35,3,23,19,35,7.4,25.8,233,327,320,0,0,0,-221.727703,2.832174679,-451.7278749,-102.9354244,-57.97244553,5.031453558,0.369151325
6227,landrke01,"Landreaux, Ken",N,0,N,1977,1987,11,11,0,N,1264,4101,52.2,109.9,180,45,91,47.9,145,60,299,421,33,19,39,45,78,22.5,44.4,268,400,317,0,0,0,-328.0706718,23.48810015,-488.7330489,-62.32756369,-63.13519684,7.320664371,1.032089718
6242,lanieha01,"Lanier, Hal",N,1,N,1964,1973,10,10,1,N,1196,3703,29.7,84.3,111,20,8,27.3,11,11,136,436,25,4,78,19,135,13.1,14.7,228,275,255,0,0,0,-192.120642,54.76249148,-390.9849367,-59.24737079,-65.13397241,4.31305575,-0.003908629
6246,lankfra01,"Lankford, Ray",N,1,N,1990,2004,14,14,0,N,1701,5747,96.8,156.1,356,54,238,87.4,258,117,828,1550,68,36,10,53,77,41,108.6,272,477,364,0,0,0,-506.3733608,-3.707163605,-506.2677536,-84.59609031,-52.05316322,7.627439341,3.392133653
6250,lansfca01,"Lansford, Carney",N,1,N,1978,1992,15,15,0,N,1862,7158,100.7,207.4,332,40,151,87.4,224,104,553,719,45,64,53,77,166,37.2,77.7,290,411,343,1,1,1,-433.3568413,92.83244333,-488.6721947,-69.5376979,-63.52596311,6.078837232,2.494142948
6263,larkiba01,"Larkin, Barry",Y,3,N,1986,2004,19,19,1,Y,2180,7937,132.9,234,441,76,198,96,379,77,939,817,66,55,59,67,178,51.7,131.8,295,444,371,13,2,1,-498.7824205,92.71235821,-507.585056,-81.58056725,-55.95842997,13.00737117,4.058683891
6292,lauch01,"Lau, Charlie",N,0,N,1956,1967,11,11,1,N,527,1170,10.5,29.8,63,9,16,14,3,1,109,150,24,5,15,12,28,7.2,11.2,255,365,318,0,0,0,-214.6843349,-12.58849043,-493.1730975,-81.98948072,-67.07650139,4.997017144,0.466666667
6296,lavalmi01,"LaValliere, Mike",N,0,N,1984,1995,12,12,1,N,879,2473,18.5,66.3,109,5,18,29.4,5,15,321,244,57,10,39,28,57,11.4,32.6,268,338,351,1,0,1,-230.1831541,34.4350929,-492.152938,-114.2777561,-73.54623812,0.144361264,1.860153257
6312,lawtoma02,"Lawton, Matt",N,0,N,1995,2006,12,12,0,Y,1334,4763,75.6,127.3,267,17,138,63.1,165,66,681,613,34,94,2,30,113,28.4,84.6,267,417,368,0,0,0,-388.1534557,23.34199984,-505.0618742,-103.1030858,-53.68265815,5.037355912,1.268491921
6313,lawva01,"Law, Vance",N,0,N,1980,1991,11,11,0,N,1212,3802,45.3,97.2,193,26,71,44.2,34,26,408,602,14,9,43,36,92,21.9,44.2,256,376,326,0,0,0,-297.8253445,25.95686616,-480.042638,-80.56201622,-57.57355048,3.301340986,1.513959981
6329,leachri01,"Leach, Rick",N,0,N,1981,1990,10,10,0,N,799,1719,20.5,46,100,10,18,18.3,8,8,176,217,20,6,9,14,42,11,18.4,268,369,335,0,0,0,-228.2754726,3.950154719,-507.4149418,-90.81512237,-71.47737832,5.767987772,0.456185031
6338,ledeeri01,"Ledee, Ricky",N,0,N,1998,2007,10,10,0,N,855,2030,29,49.4,120,17,63,31.8,29,15,244,495,18,10,4,19,44,13.7,27.3,243,412,325,0,0,0,-280.7854682,-27.24886106,-504.9558448,-72.33474211,-45.18904995,0.921963127,0.10485479
6356,leema02,"Lee, Manuel",N,0,N,1985,1995,11,11,1,N,922,2693,30.4,68.6,88,20,19,24.9,31,20,201,531,5,4,43,19,67,10.8,23.2,255,323,305,0,0,0,-218.977744,32.5574512,-454.7837432,-82.88991058,-72.99836522,5.194065522,0.892905405
6392,lemasjo01,"LeMaster, Johnnie",N,0,N,1975,1987,12,12,1,N,1039,3191,32,70.9,109,19,22,22.9,94,51,241,564,37,7,57,19,52,12.8,33.5,222,289,277,0,0,0,-203.8146478,34.56033392,-404.3062646,-77.33905052,-57.79328844,7.031651435,-0.56745377
6395,lemkema01,"Lemke, Mark",N,0,N,1988,1998,11,11,1,N,1069,3230,34.9,79.5,125,15,32,27,11,19,348,341,48,0,56,30,94,14,35.9,246,324,317,0,0,0,-235.2008258,36.4727993,-452.3821558,-93.7381947,-62.51747593,7.723835312,0.989355895
6397,lemonch01,"Lemon, Chet",N,1,N,1975,1990,16,16,0,Y,1988,6868,97.3,187.5,396,61,215,88.4,58,76,749,1024,46,151,50,54,174,45.7,80.7,273,442,355,0,0,0,-487.5153638,41.37258936,-485.7604743,-82.58724222,-53.22976534,10.65786124,3.591857215
6399,lemonji01,"Lemon, Jim",N,0,N,1950,1963,12,12,0,N,1010,3445,44.6,90.1,121,35,164,52.9,13,18,363,787,19,18,6,38,73,15.6,37.6,262,460,332,0,0,0,-401.9044411,-37.4182699,-507.8468914,-65.47794829,-55.24780201,10.2453359,1.444702842
6407,leonaje01,"Leonard, Jeffrey",N,1,N,1977,1990,14,14,0,N,1415,5045,61.4,134.2,223,37,144,72.3,163,61,342,1000,41,23,8,58,146,26,50.5,266,411,312,1,0,1,-389.2661698,24.05829997,-470.7549407,-57.78710671,-62.74865571,-0.139788164,0.798959094
6419,lepcite01,"Lepcio, Ted",N,0,N,1952,1961,10,10,1,N,729,2092,23.3,51.2,91,11,69,25.1,11,15,209,471,7,19,14,10,44,10.2,22,245,398,318,0,0,0,-278.9483981,-24.79236878,-490.7962514,-73.46457664,-52.72224207,8.99669053,0.69496587
6447,lewisda01,"Lewis, Darren",N,0,N,1990,2002,13,13,0,N,1354,4081,60.7,102.1,137,37,27,34.2,247,107,403,514,1,48,101,19,58,17.4,65,250,322,323,1,0,1,-242.3788581,60.27183972,-456.0757047,-94.13053609,-59.63387035,5.834361496,0.776741187
6453,lewisma01,"Lewis, Mark",N,0,N,1991,2001,11,11,1,N,902,2795,32,73.6,155,13,48,30.6,29,18,196,511,8,16,16,28,79,16.8,22.5,263,380,312,0,0,0,-266.9983453,10.98826331,-489.1596119,-66.79405432,-66.17673062,6.597756076,-0.332677811
6458,leyriji01,"Leyritz, Jim",N,0,N,1990,2000,11,11,1,N,903,2527,32.5,66.7,107,2,90,38.7,7,7,337,581,16,65,8,24,79,10.9,34.4,264,415,362,0,0,0,-318.0100677,-14.24887282,-521.376972,-102.2208647,-58.12287842,4.101875414,1.088787572
6461,lezcasi01,"Lezcano, Sixto",N,0,N,1974,1985,12,12,0,N,1291,4134,56,112.2,184,34,148,59.1,37,31,576,768,37,19,39,46,96,21.8,61.3,271,440,360,1,0,1,-396.5510672,-0.99280944,-515.6699957,-90.34645642,-56.95860799,7.113770413,2.668051516
6472,liebemi01,"Lieberthal, Mike",N,0,N,1994,2007,14,14,1,N,1212,4218,53.4,115.5,257,10,150,61,8,7,335,571,34,89,10,43,114,26.7,34.3,274,446,337,1,0,1,-399.5903456,-2.53405021,-509.0306157,-67.53411976,-61.00620669,6.971514004,2.097976571
6478,lillibo01,"Lillis, Bob",N,0,N,1958,1967,10,10,1,N,817,2328,19.8,54.9,68,9,3,13.7,23,25,99,116,13,13,40,11,61,7.7,12.2,236,277,270,0,0,0,-176.0903518,32.54113222,-406.261165,-75.30834282,-75.28684016,9.020740242,-0.695905259
6528,liriane01,"Liriano, Nelson",N,0,N,1987,1998,11,11,1,N,823,2216,29.6,57.6,105,27,25,24,59,30,212,300,15,7,33,19,40,13.2,27.1,260,366,324,0,0,0,-236.9120186,10.17643881,-493.6749045,-82.46934863,-65.45955962,4.340138605,0.404985927
6568,lockhke01,"Lockhart, Keith",N,0,N,1994,2003,10,10,1,N,979,2268,29,59.1,117,17,44,26.8,30,15,195,268,23,14,22,30,36,13.4,22.5,261,385,319,0,0,0,-259.5055612,-1.481680316,-497.421321,-72.71476351,-64.51190696,5.614689823,0.599841835
6574,loducpa01,"Lo Duca, Paul",N,1,N,1998,2008,11,11,1,Y,1082,3892,48.3,111.2,222,8,80,48.1,20,19,266,295,23,58,42,44,138,23,28.6,286,409,337,0,0,0,-326.8812767,31.35524996,-515.4232468,-71.51027892,-71.2673058,6.054500194,2.10246397
6580,loftoke01,"Lofton, Kenny",N,1,N,1991,2007,17,17,0,Y,2103,8120,152.8,242.8,383,116,130,78.1,622,160,945,1016,43,32,72,65,109,49.9,156.7,299,423,372,4,0,1,-436.6447111,129.2435079,-521.7010131,-78.04389344,-51.32465028,20.14809601,4.054396794
6583,loganjo01,"Logan, Johnny",N,0,N,1951,1963,13,13,1,Y,1503,5244,65.1,140.7,216,41,93,54.7,19,13,451,472,26,43,125,30,125,25.7,47,268,378,330,0,0,0,-337.4236805,58.00519026,-477.4961445,-77.782174,-60.7882614,8.853834721,3.205650772
6592,lollash01,"Lollar, Sherm",N,0,N,1946,1963,18,18,1,Y,1752,5351,62.3,141.5,244,14,155,80.8,20,10,671,453,49,115,47,34,184,25.8,69.1,264,402,357,3,0,1,-405.0710015,34.98653,-480.2117861,-100.6880043,-57.01691596,-5.094514093,2.779285944
6608,longda02,"Long, Dale",N,0,N,1951,1963,10,10,0,N,1013,3020,38.4,80.5,135,33,132,46.7,10,3,353,460,39,7,7,39,76,16.8,36.3,267,464,341,0,0,0,-373.9327511,-34.24242222,-529.63193,-67.01603702,-53.73132616,8.044147925,1.441214244
6624,lopesda01,"Lopes, Davey",N,1,N,1972,1987,16,16,1,Y,1812,6354,102.3,167.1,232,50,155,61.4,557,114,833,852,38,31,74,48,126,28.2,139,263,388,349,1,0,1,-404.2386351,56.57144215,-466.8400007,-96.17764509,-55.11377572,19.87244019,3.243092643
6633,lopezhe01,"Lopez, Hector",N,0,N,1955,1966,12,12,0,N,1450,4644,62.3,125.1,193,37,136,59.1,16,23,418,696,24,23,48,44,136,23,43.4,269,415,330,0,0,0,-379.6462,18.49501997,-487.4377194,-71.66285646,-62.02934231,8.531264202,1.590226
6634,lopezja01,"Lopez, Javy",N,1,N,1992,2006,15,15,1,Y,1503,5319,67.4,152.7,267,19,260,86.4,8,19,357,969,43,66,6,45,172,28.6,36.5,287,491,337,2,0,1,-525.2229226,-19.11059256,-500.6452761,-58.73047808,-70.13687728,12.75828075,2.599672018
6638,lopezlu02,"Lopez, Luis",N,0,N,1993,2005,11,11,1,N,721,1620,17.1,39,85,7,22,15.1,10,12,100,343,11,26,24,13,40,9.2,11,241,343,293,0,0,0,-211.5667292,-5.257174693,-458.0820598,-71.17027087,-63.79588283,7.042415947,-0.387368421
6665,lowenjo01,"Lowenstein, John",N,1,N,1970,1985,16,16,0,N,1368,3476,51,88.1,137,18,116,44.1,128,78,446,596,30,9,27,30,58,15.5,57.4,253,403,337,0,0,0,-340.4973656,-5.941527205,-486.1175909,-87.94769602,-55.23677147,8.913583032,0.931544634
6705,lummi01,"Lum, Mike",N,0,N,1967,1981,15,15,0,N,1517,3554,40.4,87.7,128,20,90,43.1,13,29,366,506,54,28,18,33,70,14.8,37.9,247,370,319,0,0,0,-305.2088644,10.49819067,-462.3132533,-83.30874425,-57.94065802,5.022568401,0.761715429
6706,lumpeje01,"Lumpe, Jerry",N,0,N,1956,1967,12,12,1,N,1371,4912,62,131.4,190,52,47,45.4,20,15,428,411,21,8,57,36,97,24.2,44.8,268,356,325,0,0,0,-286.4459495,71.91008863,-478.1915434,-76.98736638,-62.08308431,7.08949972,1.253537953
6724,luzingr01,"Luzinski, Greg",N,1,N,1970,1984,15,15,0,Y,1821,6505,88,179.5,344,24,307,112.8,37,31,845,1495,95,84,1,79,147,36.8,88.2,276,478,363,0,1,1,-577.6333782,-4.571217301,-479.4303162,-90.48504398,-62.41433666,2.086538147,2.610433857
6731,lynchje01,"Lynch, Jerry",N,0,N,1954,1966,13,13,0,N,1184,2879,36.4,79.8,123,34,115,47,12,17,224,416,29,9,8,25,58,15.7,23.6,277,463,329,0,0,0,-359.27642,-27.67821612,-533.4503088,-53.41337555,-62.02113041,5.154530903,0.39154213
6732,lynnfr01,"Lynn, Fred",N,2,N,1974,1990,17,17,0,Y,1969,6925,106.3,196,388,43,306,111.1,72,54,857,1116,77,30,25,86,149,43.1,92.9,283,484,360,8,0,1,-585.2635633,8.29930268,-484.7999382,-81.49789891,-63.24268541,8.085055617,3.432689638
6753,mabryjo01,"Mabry, John",N,0,N,1994,2007,14,14,0,N,1322,3409,38.2,89.8,183,6,96,44.6,7,12,284,717,43,22,21,29,88,18.9,29.1,263,405,322,0,0,0,-325.1612972,2.415612311,-491.6372835,-69.45462054,-62.00772432,5.947680845,0.22002656
6759,macfami01,"Macfarlane, Mike",N,0,N,1987,1999,13,13,1,N,1164,3602,45.8,90.6,221,17,129,51.4,12,16,295,700,17,97,10,39,79,23.8,30.7,252,430,322,0,0,0,-361.3585098,-17.9859945,-491.8317608,-64.84963301,-50.45246234,5.142428862,1.505639377
6796,maddoel01,"Maddox, Elliott",N,0,N,1970,1980,11,11,0,N,1029,2843,36,74.2,121,16,18,23.4,60,54,409,358,21,34,30,24,69,13.7,46.9,261,334,358,0,0,0,-230.6023199,40.69464819,-490.2239088,-121.3712949,-65.415712,7.418106289,1.525149701
6797,maddoga01,"Maddox, Garry",N,1,N,1972,1986,15,15,0,N,1749,6331,77.7,180.2,337,62,117,75.4,248,92,323,781,60,36,25,60,99,39.9,57.1,285,413,320,8,1,1,-390.0342891,76.37377251,-491.7422646,-48.63760475,-62.32146794,4.523653312,2.794317343
6804,madlobi01,"Madlock, Bill",N,1,N,1973,1987,15,15,0,Y,1806,6594,92,200.8,348,34,163,86,174,90,605,510,121,68,36,69,190,38.2,77.9,305,442,365,1,0,1,-454.6250718,78.09120437,-522.0803256,-76.50294924,-68.02764589,8.313822846,2.525162778
6812,magadda01,"Magadan, Dave",N,0,N,1986,2001,16,16,0,N,1582,4159,51.6,119.7,218,13,42,49.5,11,11,718,546,46,12,24,50,98,23.1,72.9,288,377,390,0,0,0,-295.5592546,68.8633322,-533.2487751,-122.2470517,-65.71855379,-0.61831626,2.029800524
6857,maldoca01,"Maldonado, Candy",N,0,N,1981,1995,15,15,0,N,1410,4106,49.8,104.2,227,17,146,61.8,34,33,391,864,32,41,11,41,98,24.4,42.5,254,424,322,0,0,0,-381.0103501,-8.766005979,-480.8666942,-67.66458479,-53.92920389,1.875532217,1.378409586
6883,malzofr01,"Malzone, Frank",N,0,N,1955,1966,12,12,0,Y,1441,5428,64.7,148.6,239,21,133,72.8,14,14,337,434,26,17,31,55,165,26,35.1,274,399,315,3,0,1,-383.1474427,45.85131583,-470.5767253,-60.38209194,-67.66179761,1.386961945,1.873619632
6899,manniri01,"Manning, Rick",N,0,N,1975,1987,13,13,0,N,1555,5248,66.4,134.9,189,43,56,45.8,168,78,471,616,33,9,61,43,104,23.2,63.9,257,341,317,1,0,1,-287.9773713,73.48992985,-456.2713767,-78.84433685,-58.66370192,8.802573854,0.656104252
6908,mantife01,"Mantilla, Felix",N,0,N,1956,1966,11,11,1,N,969,2707,36,70.7,97,10,89,33,27,10,256,352,13,26,18,20,79,10.7,28.3,261,403,329,0,0,0,-308.977698,-11.77314115,-496.8495513,-79.05165996,-62.86123674,10.65310414,1.023885035
6909,mantlmi01,"Mantle, Mickey",Y,1,N,1951,1968,18,18,0,Y,2401,8102,167.7,241.5,344,72,536,150.9,153,38,1733,1710,126,13,14,47,113,41.6,188.6,298,557,421,6,1,1,-830.4712392,-44.17529483,-478.9603445,-131.802621,-75.7401814,23.18634717,6.704228479
6917,manwaki01,"Manwaring, Kirt",N,0,N,1987,1999,13,13,1,N,1008,2982,24.8,73.3,111,20,21,27.8,10,19,243,505,28,50,42,19,82,13.1,25.3,246,318,311,1,0,1,-221.3946398,36.70763328,-449.6662217,-90.42435754,-64.77849219,3.487790859,0.843555156
6937,marisro01,"Maris, Roger",N,15,N,1957,1968,12,12,0,Y,1463,5101,82.6,132.5,195,42,275,85.1,21,9,652,733,42,38,12,43,75,23.7,67.3,260,476,345,4,0,1,-522.2657715,-41.03964254,-478.8571219,-81.04820984,-56.58610949,10.17489139,3.489941841
6958,marreel01,"Marrero, Eli",N,0,N,1997,2006,10,10,1,N,724,1906,26.2,46.3,99,12,66,26.1,56,11,168,372,25,8,18,26,40,11.1,22.4,243,411,303,0,0,0,-277.5241757,-33.88917505,-493.1344557,-55.35947726,-50.04697432,6.386934691,0.935888993
6973,marshmi02,"Marshall, Mike",N,0,N,1981,1991,11,11,0,N,1035,3593,43.3,97.1,173,8,148,53,26,33,247,810,33,37,3,28,79,18.1,27.3,270,446,321,0,0,0,-386.426597,-20.90732279,-501.7649288,-57.51121844,-63.78660895,9.563653084,1.482855681
6986,martial03,"Martin, Al",N,0,N,1992,2003,11,11,0,N,1232,4242,66.4,117.2,220,48,132,48.5,173,65,390,879,43,24,5,27,63,26.8,56.3,276,444,339,0,0,0,-382.4112668,4.572558491,-516.9631443,-66.75462279,-59.32798654,16.09107083,0.833724403
6990,martibi02,"Martin, Billy",N,1,N,1950,1961,11,11,1,N,1021,3419,42.5,87.7,137,28,64,33.3,34,29,188,355,8,32,55,23,96,16.5,22.2,257,369,300,1,0,1,-280.2338948,18.47191002,-466.8698598,-62.29529263,-65.40768761,10.3729286,0.445951036
6991,martibu01,"Martinez, Buck",N,0,N,1969,1986,17,17,1,N,1049,2743,24.5,61.8,128,10,58,32.1,5,10,230,419,5,8,56,35,59,13.8,23.5,225,343,284,0,0,0,-251.2566382,-0.657727522,-432.2545354,-66.76195237,-52.01583288,2.555508292,0.594791667
6999,martida01,"Martinez, Dave",N,0,N,1986,2001,16,16,0,N,1919,5795,79.5,159.9,238,72,91,58,183,94,567,893,47,28,53,37,84,31,75,276,389,341,0,0,0,-350.1115425,74.37587963,-493.3341567,-77.54457543,-58.13572985,10.47052226,1.377638889
7013,martijc01,"Martin, J. C.",N,0,N,1959,1972,14,14,1,N,908,2189,18.9,48.7,82,12,32,23,9,8,201,299,53,17,22,17,36,9.4,21,222,315,291,0,0,0,-213.7774889,5.627284343,-425.8949523,-83.46434684,-54.96222205,2.924972563,0.036672118
7016,martije01,"Martin, Jerry",N,0,N,1974,1984,11,11,0,N,1018,2652,33.7,66.6,130,17,85,34.5,38,23,207,574,20,16,6,23,60,14.7,24.5,251,409,307,0,0,0,-303.2680961,-19.83296022,-488.291498,-58.47265261,-55.81997153,7.308776502,0.452754821
7050,martiti02,"Martinez, Tino",N,1,N,1990,2005,16,16,0,N,2023,7111,100.8,192.5,365,21,339,127.1,27,20,780,1069,102,59,14,80,191,38.6,80.7,271,471,344,1,0,1,-606.8228525,-3.727588321,-450.1506163,-80.91123166,-65.67971314,-2.400274561,2.145972153
7060,marzajo01,"Marzano, John",N,0,N,1987,1998,10,10,1,N,301,794,7.9,19.1,45,2,11,7.2,0,2,39,138,1,18,14,6,17,4.7,3.9,241,344,289,0,0,0,-192.7711623,-19.856824,-462.1845121,-69.19231133,-66.7934679,7.561020608,0.094833525
7088,matheed01,"Mathews, Eddie",Y,5,N,1952,1968,17,17,0,Y,2391,8537,150.9,231.5,354,72,512,145.3,68,39,1444,1487,107,26,36,58,123,42.6,151.2,271,509,376,0,0,0,-781.6118457,-39.37196888,-423.7975197,-114.984729,-70.80920013,20.96049212,6.107454707
7091,mathemi01,"Matheny, Mike",N,0,N,1994,2006,13,13,1,N,1305,3877,35.3,92.5,190,9,67,44.3,8,14,266,795,54,45,65,34,97,19.9,27.4,239,344,293,4,0,1,-276.2921072,26.97947269,-437.3535483,-68.42435871,-57.33795526,0.927029494,0.357102869
7113,matthga01,"Matthews, Gary",N,1,N,1972,1987,16,16,0,N,2033,7147,108.3,201.1,319,51,234,97.8,183,74,940,1125,46,21,19,62,179,37,112.3,281,439,364,2,0,1,-511.1004191,50.90550444,-482.7426727,-91.59534546,-60.13623112,8.85886849,2.222408108
7118,mattido01,"Mattingly, Don",N,15,N,1982,1995,14,14,0,Y,1785,7003,100.7,215.3,442,20,222,109.9,14,9,588,444,136,21,13,96,191,46.2,60.2,307,471,358,14,1,1,-522.9951006,63.00699095,-515.2130895,-64.74522201,-69.56903582,0.147629902,3.526602772
7138,maxvida01,"Maxvill, Dal",N,1,N,1962,1975,14,14,1,N,1423,3443,30.2,74.8,79,24,6,25.2,7,11,370,538,49,8,54,23,94,10.3,37.7,217,259,293,1,0,1,-184.168223,54.4396782,-395.004597,-101.1308118,-56.04676686,2.480783426,0.92349923
7139,maxwech01,"Maxwell, Charlie",N,0,N,1950,1964,14,14,0,N,1133,3245,47.8,85.6,110,26,148,53.2,18,7,484,545,31,22,16,29,45,13.6,50.2,264,451,360,0,0,0,-387.7755841,-28.98200264,-521.8680621,-91.05537228,-53.66193471,5.637519316,2.838487882
7143,maybejo01,"Mayberry, John",N,1,N,1968,1982,15,15,0,N,1620,5447,73.3,137.9,211,19,255,87.9,20,17,881,810,106,55,10,53,108,23,90.1,253,439,360,0,0,0,-497.4227917,-16.62384605,-464.9015516,-106.2806724,-54.22796911,4.725184753,2.535634502
7146,mayca01,"May, Carlos",N,1,N,1968,1977,10,10,0,Y,1165,4120,54.5,112.7,172,23,90,53.6,85,53,512,565,63,45,7,39,112,19.5,59.7,274,392,357,0,0,0,-332.2460151,35.24878758,-504.4042509,-98.55912489,-63.96189717,2.164434356,1.259517256
7147,mayda01,"May, Dave",N,0,N,1967,1978,12,12,0,N,1252,3670,46.2,92,130,20,96,42.2,60,47,344,501,41,28,25,18,91,15,40.4,251,375,318,0,0,0,-313.4145082,10.82057601,-464.4761902,-80.21055265,-60.20888823,8.253902631,1.406389229
7149,mayde01,"May, Derrick",N,0,N,1990,1999,10,10,0,N,797,2200,24.4,59.6,103,10,52,31,30,12,156,254,26,8,3,19,57,11.3,18.6,271,398,319,0,0,0,-272.5378003,-5.512594776,-506.895016,-67.26454573,-70.96016363,3.673894236,0.578960604
7150,mayele01,"Maye, Lee",N,0,N,1959,1971,13,13,0,N,1288,4048,53.3,110.9,190,39,94,41.9,59,34,282,481,29,19,13,20,54,22.9,34.1,274,410,323,0,0,0,-334.0056516,20.85251463,-500.036677,-62.984575,-64.81254041,14.01488201,1.253811045
7152,mayje01,"May, Jerry",N,1,N,1964,1973,10,10,1,N,556,1527,12,35.7,63,10,15,13,1,2,157,293,48,11,8,13,42,7.3,15.8,234,318,307,0,0,0,-196.4379275,2.467148544,-447.6507283,-94.28515469,-62.30381625,6.396351836,1.175815851
7153,mayle01,"May, Lee",N,1,N,1965,1982,18,18,0,Y,2071,7609,95.9,203.1,340,31,354,124.4,39,35,487,1570,85,49,9,65,219,37.1,52.6,267,459,313,0,0,0,-614.0535601,-1.009838881,-419.7315256,-61.15133181,-70.49582707,5.785752267,2.048387882
