,HOF,WAR,BBSB_Norm,IBB_Norm,AB,SF_Norm,HR_Norm,SO_Norm,SH_Norm,HBP_Norm,SP,ASG,G,AVG,OBP,SLG,R_Norm,DB_Norm,TP_Norm,RBI_Norm,SB_Norm,CS_Norm,GIDP_Norm,BB_Norm,DBTP_Norm,PC_1
969,0,2.481954138,0.1372356124,0.0054107231,6099,0.0070503361,0.0436137072,0.1380554189,0.0039350713,0.0044269552,17,0.24,1862,277,364,469,0.1421544515,0.0473848172,0.0068863748,0.1931464174,0.0014756517,0.0031152648,0.0234464666,0.1357599606,0.054271192,-539.2995144
478,0,1.668619718,0.0948610464,0.0032603633,6441,0.01179941,0.0440925322,0.1811830461,0,0.0048129172,14,0,1755,268,325,454,0.1237385499,0.050302748,0.0017078093,0.1594472908,0.0091600683,0.0046576619,0.0281012265,0.0857009781,0.0520105574,-540.3620882
685,0,2.746522806,0.0684053487,0.0131506244,9049,0.0104983976,0.0242015692,0.0835451431,0.0018786606,0.0090617748,18,0.39,2368,303,344,451,0.1313957343,0.0584594983,0.0085092275,0.1465355288,0.0092827937,0.0070726047,0.0280693999,0.059122555,0.0669687258,-540.873484
831,0,3.492710377,0.100921659,0.0216589862,8680,0.0115207373,0.0285714286,0.0799539171,0.0012672811,0.0044930876,21,0.38,2456,285,348,437,0.1237327189,0.0556451613,0.0054147465,0.1600230415,0.0024193548,0.0038018433,0.0330645161,0.0985023041,0.0610599078,-548.8968149
911,0,4.210555619,0.1018542037,0.0161290323,7874,0.0063500127,0.032004064,0.1389382779,0.0016510033,0.0107950216,18,0.5,2209,297,365,452,0.126492253,0.0436880874,0.007493015,0.150495301,0.0029210058,0.0036830074,0.0360680721,0.0989331979,0.0511811024,-549.8852889
498,0,2.461970534,0.1618249866,0.0149705935,5611,0.0098021743,0.0495455356,0.1919443949,0.0007128854,0.0051684192,16,0.06,1736,279,370,500,0.1557654607,0.0611299234,0.0058813046,0.1759044734,0.0162181429,0.0073070754,0.0222776689,0.1456068437,0.0670112279,-550.5761654
683,0,3.939832285,0.1693888303,0.0206796628,7592,0.0126448894,0.0335879874,0.133825079,0.0015806112,0.0115911486,17,0.12,2234,295,398,465,0.1500263435,0.0658587987,0.0017123288,0.1620126449,0.0014488936,0.0018440464,0.0305584826,0.1679399368,0.0675711275,-557.642693
131,0,1.913919352,0.1591861161,0.0081787353,5013,0.0107719928,0.061839218,0.280470776,0.0023937762,0.0111709555,15,0.07,1472,254,359,494,0.1591861161,0.0464791542,0.0037901456,0.1924995013,0.0011968881,0.0047875524,0.0245362059,0.157989228,0.0502692998,-558.4626621
824,0,1.958458244,0.1221590909,0.0062905844,4928,0.0073051948,0.0620941558,0.2664366883,0,0.0105519481,12,0.17,1367,261,344,507,0.1517857143,0.0527597403,0.0034496753,0.1913555195,0.0028409091,0.002637987,0.0292207792,0.1193181818,0.0562094156,-558.6054803
500,0,2.537604328,0.0863552032,0.0118063754,5929,0.0038792376,0.0470568393,0.0615618148,0.0005059875,0.0038792376,15,0.27,1718,298,353,498,0.1430258054,0.0489121268,0.0048912127,0.1733850565,0.0033732501,0.0016866251,0.0241187384,0.0829819531,0.0538033395,-559.2883027
938,0,4.205247249,0.1555775764,0.0186862967,7064,0.0107587769,0.041619479,0.1669026048,0.0046715742,0.0032559456,16,0.12,2079,267,362,444,0.142412231,0.0478482446,0.00198188,0.1673272933,0.0033975085,0.0053793884,0.0249150623,0.152180068,0.0498301246,-559.4641626
730,0,3.092559839,0.0911353033,0.0071539658,9645,0.0080870918,0.0265422499,0.1240020736,0.0053913945,0.0055987558,18,0.11,2469,286,327,442,0.1416277864,0.0502851218,0.0131674443,0.1213063764,0.0316226024,0.012649041,0.0170036288,0.0595127009,0.0634525661,-560.236384
643,1,-0.241545894,0.2753045165,0.0081923035,9277,0.0103481729,0.0288886493,0.1094103697,0.0054974669,0.0043117387,22,0.45,2649,271,392,427,0.1778592217,0.048399267,0.0103481729,0.1221299989,0.0742696993,0.0174625418,0.0113183141,0.2010348173,0.0587474399,-560.4502152
782,1,4.47625191,0.0833489769,0.0112633753,10654,0.0107002065,0.0251548714,0.0929228459,0.0094800075,0.0049746574,23,0.65,2896,267,322,401,0.1156373193,0.045241224,0.0063825793,0.1273700019,0.0026281209,0.0020649521,0.0278768538,0.080720856,0.0516238033,-561.6780271
82,0,0.765061999,0.0794546309,0.0050148879,6381,0.0114402131,0.0429399781,0.1689390378,0.0007835762,0.0064253252,14,0.29,1704,299,336,499,0.146372042,0.0628428146,0.0042313117,0.1788120984,0.0238207178,0.0114402131,0.0275818837,0.0556339132,0.0670741263,-562.2269138
275,0,2.040410844,0.1347682761,0.0147372503,5157,0.0089199147,0.0618576692,0.2551871243,0,0.0083381811,13,0.23,1470,255,345,482,0.1442699244,0.0387822377,0.0013573783,0.1954624782,0.0003878224,0.0011634671,0.0327709909,0.1343804538,0.0401396161,-562.5330908
136,0,2.271215805,0.1423817863,0.0131348511,5710,0.007530648,0.0551663748,0.2409807356,0.0015761821,0.0136602452,14,0.07,1694,253,345,481,0.1605954466,0.0521891419,0.0050788091,0.1718038529,0.0129597198,0.0101576182,0.0173380035,0.1294220665,0.057267951,-563.4482708
106,0,4.222822932,0.1097250168,0.0130114017,7455,0.0084507042,0.0378269618,0.1364185111,0.0022803488,0.0026827632,15,0.47,2034,287,349,462,0.1480885312,0.0426559356,0.009121395,0.1530516432,0.014084507,0.0103286385,0.02481556,0.0956405097,0.0517773307,-565.518435
430,0,3.010508617,0.1413113695,0.0177648579,6192,0.0106589147,0.0473191214,0.128875969,0.0024224806,0.0041989664,14,0.07,1747,282,367,481,0.1458333333,0.0503875969,0.0029069767,0.1753875969,0.0059754522,0.0041989664,0.0266472868,0.1353359173,0.0532945736,-565.6096076
806,0,0.2,0.1567056561,0.0078513059,6241,0.0068899215,0.0488703733,0.2586124019,0.0022432303,0.011376382,17,0.06,1777,267,343,487,0.1661592693,0.0546386797,0.0096138439,0.1575068098,0.0487101426,0.0184265342,0.0193879186,0.1079955135,0.0642525236,-567.2475262
707,0,2.909516481,0.090561766,0.0087731711,7067,0.00820716,0.045846894,0.2160747135,0.0032545635,0.0052356021,19,0.42,1988,252,313,440,0.121126362,0.0431583416,0.0038205745,0.1514079525,0.0039620773,0.0052356021,0.0278760436,0.0865996887,0.0469789161,-567.9268649
805,1,4.337955182,0.1317829457,0.0070363745,8385,0.0084675015,0.0336314848,0.1502683363,0.0036970781,0.0040548599,16,0.62,2164,285,344,452,0.1571854502,0.0480620155,0.0090638044,0.12653548,0.041025641,0.0127608825,0.0165772212,0.0907573047,0.0571258199,-568.8052323
96,0,2.63549364,0.1326771108,0.0177457369,7213,0.0134479412,0.0397892694,0.1669208374,0.0006931928,0.0038818799,16,0.38,2113,279,358,472,0.1502842091,0.0565645363,0.0084569527,0.1626230417,0.0062387356,0.0079023984,0.0234299182,0.1264383752,0.065021489,-568.9723777
688,0,2.830820026,0.1411587866,0.0146214813,7318,0.0122984422,0.0383984695,0.1593331511,0.0009565455,0.0030062859,17,0.29,2053,288,363,470,0.1422519814,0.0616288603,0.0028696365,0.173408035,0.0192675594,0.0099754031,0.0301995081,0.1218912271,0.0644984969,-571.0784251
310,0,2.601393443,0.1570786168,0.0058923864,6449,0.0088385796,0.0497751589,0.2187936114,0.0018607536,0.0049620096,16,0.12,1832,256,336,468,0.1674678245,0.0468289657,0.00775314,0.1563033028,0.0376802605,0.0158164056,0.0151961544,0.1193983563,0.0545821058,-571.6174503
