,HOF,SP,ASG,G,AB,AVG,OBP,SLG,R_Norm,DB_Norm,TP_Norm,HR_Norm,RBI_Norm,SB_Norm,CS_Norm,BB_Norm,SO_Norm,IBB_Norm,HBP_Norm,SH_Norm,SF_Norm,GIDP_Norm,DBTP_Norm,BBSB_Norm
759,0,11,0,1284,4554,270,349,350,0.1242863417,0.0577514273,0.0021958718,0.0059288538,0.086078173,0.008783487,0.0096618357,0.1190162495,0.0893719807,0.0063680281,0.0065876153,0.0195432587,0.0072463768,0.0259112868,0.0599472991,0.1277997365
760,0,10,0,866,2020,253,312,384,0.1227722772,0.0361386139,0.0084158416,0.0257425743,0.1212871287,0.0079207921,0.0074257426,0.0782178218,0.1336633663,0.0108910891,0.0099009901,0.0054455446,0.0079207921,0.0178217822,0.0445544554,0.0861386139
761,0,11,0,997,3307,261,326,414,0.118234049,0.0329603871,0.0072573329,0.0350771092,0.1345630481,0.0120955549,0.0123979438,0.0795282734,0.203205322,0.0060477774,0.0199576656,0.0075597218,0.0072573329,0.0278197762,0.04021772,0.0916238282
762,0,11,0.09,1344,4777,260,290,359,0.0766171237,0.0508687461,0.0025120368,0.0142348754,0.1147163492,0.002093364,0.0029307097,0.0385178983,0.1084362571,0.009838811,0.0073267741,0.0071174377,0.0102574838,0.0328658154,0.0533807829,0.0406112623
763,0,11,0,939,2939,243,319,347,0.1275944199,0.0500170126,0.0064647839,0.0136100715,0.1047975502,0.0275603947,0.00952705,0.0996937734,0.1691051378,0.0074855393,0.0170125893,0.0125893161,0.00952705,0.0197346036,0.0564817965,0.1272541681
764,0,10,0.1,1154,4455,275,327,328,0.1358024691,0.0314253648,0.0085297419,0.0015712682,0.0738496072,0.0466891134,0.0222222222,0.0799102132,0.090684624,0.0022446689,0.0008978676,0.0260381594,0.0071829405,0.018630752,0.0399551066,0.1265993266
765,0,13,0,1023,2555,271,381,406,0.153816047,0.0446183953,0.0062622309,0.0258317025,0.1287671233,0.0266144814,0.0109589041,0.1741682975,0.1495107632,0.0058708415,0.0070450098,0.0140900196,0.0078277886,0.0254403131,0.0508806262,0.2007827789
766,0,15,0.13,1491,4466,256,291,345,0.1074787282,0.0320197044,0.0145544111,0.0094043887,0.0844155844,0.012987013,0.0071652485,0.0508284819,0.0909090909,0.0076130766,0.0020152262,0.0277653381,0.0082848186,0.0109717868,0.0465741155,0.0638154948
767,0,12,0.17,1374,4782,258,327,341,0.1338352154,0.0480970305,0.0110832288,0.004391468,0.073818486,0.052279381,0.0288582183,0.1003764115,0.0872020075,0.0023002928,0.0056461731,0.0158929318,0.0069008783,0.0142199916,0.0591802593,0.1526557926
768,0,17,0.06,1309,3826,237,312,356,0.0893883952,0.0462624151,0.0052273915,0.0206481965,0.1152639833,0.0005227392,0.0007841087,0.0998431783,0.136434919,0.0060115003,0.0088865656,0.0164662833,0.001829587,0.0269210664,0.0514898066,0.1003659174
